sight,title,content
蘭嶼,"“與出國旅行是相同頻率,回到本島仍有無限幸福感!!! :)”","
去了一次蘭嶼,就戀棧那邊了! 人仍在台灣玩,但覺得跟出國旅行的心情完全吻合,回到本島仍有無限幸福感! :) 美麗山海與羊群相襯,按下相機快門的那剎間,又是一張明信片。最喜歡的部落是東清,因為那邊是我每天說早安及晚安的地方,期待每日太陽與月亮的交替輪班,感受美麗日出與月昇的感動。下雨後,淺藍、靛藍、深藍三種顏色漸層鋪陳在八代灣上,頓時覺得自己像是在國外海邊上,不過畢竟自己也是位於太平洋其中一個島嶼的小角落。當地達悟族非常熱情,會主動和觀光客互動。Life sucks without true love在這裡不存在,一個樂於助人的人之島-蘭嶼。
"
蘭嶼,“愜意而美好”,"
自在、舒暢、悠閒、放鬆，來一趟蘭嶼，會讓一切忙碌歸零，調整好自己重新出發。蘭嶼是我每每會向朋友推薦的旅遊景點，體驗一下台灣東南角的自然與純真，美麗的景色，就算無事待在發呆亭也是一種奢華。蘭嶼在我腦海裡的記憶，是當我們騎著小機車延著海邊騎乘邊吹著風，正覺得自己已經完完全全融入這美景時，看到一位金髮外藉女旅客，戴著耳機聽著音樂，閉上眼、拎著鞋，敞開雙臂赤腳走在濱海路，當海風飄起她的淡色髮絲時，我不禁想她那時肯定是整個島上最享受、最幸福的人了吧！蘭嶼有太多的美麗、也會帶給你接受不完的驚喜。尤其晚上遊玩時，要記得注意那些站在峭壁上成群睡覺的羊咩咩喔...
"
蘭嶼,“發呆也可以很幸福:)”,"
蘭嶼的海與天空都好藍，在這裡最好的行程就是""沒有行程""，我們最喜歡待在發呆亭，甚麼事也不做，靜靜躺著或坐著，看著藍藍的海，任海風輕輕吹拂就覺得很幸福。我們曾分別在這住過3晚與4晚，若假可以多請幾天，我覺得待上一個星期也不會覺得多。在一次返回後壁湖的船上，聽到兩個歐巴桑在聊天，意思大約是""蘭嶼也沒甚好玩的，幾個小時就看完了""，若只是想環島一圈，到此一遊，拍拍照，的確不用2個小時就OK了。不過大老遠跑來這裡，或許過程還吐了好幾次，若不能多留幾晚好好感受蘭嶼的慢活氣息與美麗風情真的是太可惜了。
"
蘭嶼,“一個人.朋友們.你都會找到新的自己.發現你愛上這樣的原始”,"
很原始的地方,當地的友人都很友善,騎機車環島速速解決也要兩個小時,但到那邊漫活的四處發呆,散心！如果你你不怕水,勢必嘗試一下浮淺甚至淺深潛,你會發現你找不到第二處,台灣純淨的藍,及安靜的海洋.....會讓你愛上這個這樣的地方
"
蘭嶼,“不去會後悔的地方”,"
一個人文 自然 生態 融會貫通的地方在這裏打開工作室是一片彩色走過下一村是一堆山豬嗯？上一村才差點撞到肥羊誒...
"
蘭嶼,“蘭嶼的藍”,"
蘭嶼，一個很原始的地方，住著六大部落。在蘭嶼~ 羊群們就是老大，隨處可見發呆亭，害我們一群人動不動就想上去待一下，放空自己只管享受眼前這份寧靜。飛魚 & 拼板舟是蘭嶼的特色，可以花錢體驗坐在拼板舟上的感覺，我划的時候是沒有進水，但倒是有看到其他人一直把水往外撈XD 到蘭嶼我很推薦花錢體驗夜觀，看看蘭嶼的動植物，了解他們的生態環境，還可看見可愛的貓頭鷹^^ 蘭嶼的海非常清澈，不太商業化，但是物價卻偏高，若有預算倒是很推薦吃當地的美食，海鮮類真的很新鮮又好吃，還有當地的地瓜也非常好吃，讓我難以忘懷的好滋味^^ 總之蘭嶼很棒，若你需要適時的放空自己，享受大自然，美景當前所有煩惱都拋去，那麼你很需要來一趟蘭嶼體驗當地的美，並親眼看看蘭嶼的藍：）
"
蘭嶼,“回歸純真. 放空”,"
海是不可思議的藍, 熱情的達悟族人, 隨意逛大街的豬牛羊雞.......在蘭嶼最好的活動就是..什麼都不要做, 放空
"
蘭嶼,“生日行”,"
真的很漂亮~藝術品般的拼板舟,帶紅色的雲離自己好近,路上的紅綠燈就是 鹿,一早起床出民宿看到的就是一堆小豬,追日出,然後很優閒的吃早餐跟民宿老闆聊個天,騎著摩拖車環島一圈,雖然天黑時挺嚇人,傍晚坐在海旁,看那些當自己家游泳池的小孩玩水,總之很舒服這幾天。
"
蘭嶼,“充滿原始魅力的島嶼”,"
認為他是台灣外島中的淨土,因為交通的不便也使得他保留了很晚整的原始風味,不像綠島充滿了商業氣息,島上的居住選擇有限可是卻可以發現處處的生機,活躍在岩壁上山羊,在街上閒晃的黑豬,島上熱情的居明在買東西的時候請你吃現抓的螃蟹,是一個忘記煩惱和塵囂的世外桃源
"
蘭嶼,“原住民真的超可愛”,"
這裡跟綠島比較起來真的是純樸很多，豬、牛、羊在路上到處走！也沒有任何24小時的便利商店，但也因為如此更可以把物質放為最低，感受那當地生活知足的笑容！
"
蘭嶼,“蘭嶼生活~”,"
第一次到蘭嶼,炎炎夏日真的會使人昏昏欲睡...而和藹且熱情的當地人、美麗的星空,日出與日落、大自然的天籟,以及隨處可見的海～這一切真的很難讓人不愛上這裡！與朋友一起坐在海邊...吃著現出爐的窯烤pizza,吃著當地飛魚餐,喝點飲料或小酒,是多麼享受的一件事阿,但夜裡沒有路燈真的很恐怖...待了三天兩夜,都捨不得離開了 :'(一定要再找機會去的~~
"
蘭嶼,“蘭嶼，一個讓人不得不愛的地方!!”,"
""走向世界，不一定就能走進世界。""而我卻在蘭嶼走""進""入了另一個世界.....在蘭嶼，你可以靠自己很近,因為那裡的人、天空和海....在蘭嶼，銀河、流星是天空的樣子，看海是每天必做的事，上山下海是這兒的文化也是生活方式，風趣體貼是這兒的人互動的方式....蘭嶼處處是驚喜和感動,但需要行動和時間去體會，蘭嶼是我第一次遇到當地人騎車或開車經過時,會刻意將行車速度慢下來慢速通過的地方,因為,不希望路人的衣服溼了!!!蘭嶼，是一個會讓人不得不愛的地方!!
"
蘭嶼,“蘭嶼星空”,"
今年夏天我獨自來到蘭嶼，起初是想看看自己是否有能力一個人旅行，結果一個月來認識了許多不同類型的朋友，他們帶著我體驗特殊活動，最難忘的經驗是睡屋頂，在這裡不僅僅是人們熱情，連星星也是如此熱情的撒滿整片天空，無時無刻都能看見流星，那種說不出來的感動總讓人難以忘懷!!
"
蘭嶼,“I Love Lanyu!”,"
蘭嶼很漂亮也很舒服看過那裏的天空之後你會覺得城市裡的天空像是拙劣的仿造品充滿著令人難以呼吸的塵埃阻擋了視線也阻擋了直接和天空面對面的機會早上湛藍的天空晚上的滿天星星更重要的是溫和與熱情的人們讓人想一直一直的待在那裏
"
蘭嶼,“讓你捨不得拿起像機的瑰麗寶地”,"
常常有人說，台東花蓮是台灣最後一塊淨土，但常常我們忘了還有外島，這個需要２個多小時船程的美麗小島－蘭嶼．我們會記得他是因為新聞上反覆說著新年的第一道曙光還有核廢料，但我們真正忘記的是他最真實且樸實的美麗！我這次第一次照訪，就呆了７天６夜，離開時還有無數的不捨，回想在規劃時，常常東想西想一大堆，但造訪蘭嶼真的不必要這麼麻煩，其實只要把心放開，就好了！蘭嶼的美是無法用言詞表達的，蘭嶼的悠閒也是無法訴說的，我只去過一次......但我想再去很多回!這是第一個地方讓我回味無窮，對一切都感到感到眷戀，一種家的悠閒感！也讓我回到台北時一時感到不適應...哈哈苦笑!蘭嶼絕對是個值得呆上１周以上的地方，值得慢慢品嘗，沒去過蘭嶼......別說你看過最美的台灣!
"
蘭嶼,“看得到各種藍色的蘭嶼”,"
在台灣生長這麼久，在夢想了20年後，第一次踏上蘭嶼這個小島，程著那很多人都暈得亂七八糟的船，接近蘭嶼的碼頭，迎接我的是幾隻在海面飛躍的飛魚。So surprise.大家都說蘭嶼四天夠了，不就是一個島嗎? 遊客去那邊潛水、看山看海。而對我來說最奇妙的是海的顏色，在台灣或是澎湖綠島金門馬祖，我從來沒有看過海有這麼多顏色。跟著朋友在蘭嶼島晃了四天三夜，匆匆的又回到台灣。但回台灣之後，卻發現這趟旅程少了些甚麼? 多了很多遺憾。於是我們一家三口決定在暑假再次踏上這個島一星期。去尋找我們的缺口。如果說我想要建議各位遊客些甚麼? 請愛這個島的遊客們一定要耐心看一下，一起來保護這座小島。一個地方的永續包含環境、社會文化與在地經濟。很多遊客為了省錢而不願意花錢請導遊；但回頭想想，你已經花了很多旅費來到這裡，若是無法深入當地文化，讓在地居民有經濟來源，那未來這個美麗的小島，仍舊會美麗嗎?因此只有三件事特別提醒大家。1.在島上大家很可能去夜間觀察，但請您一定不要拿閃光燈照來照去，去拜訪夜間生物時，也請不要用白光照他們，建議還是找當地的導遊帶你去，他們會用yellow or red 玻璃紙包在手電筒上，帶你們去觀察。2.這一座島垃圾分類系統不太健全，物資等都靠船運，也因此大家喝的飲料瓶最後會去哪裡呢??? 如果可以請您盡可能自己帶水壺，島上很多地方可以加水。而製造的瓶子鋁罐等，也看看是否當地有人做回收，不然就壓一壓自己帶回本島也是一種做法。 3.達悟族有很多文化禁忌，到別人家我們還是得是度尊重主人，也不要隨便拿著相機就對著人拍。多一句的問候，多一點尊重，或許會有不同的收穫。
"
蘭嶼,“得盡早造訪的好地方”,"
多年前,利用四月春假期間與孩子們從後壁湖搭船前往蘭嶼,那是我多次搭船經驗中最舒適的幾次之一,不曉得是海流還是海風助陣?很快就抵達美麗的蘭嶼,因為事先經由安排,入住當地人經營的民宿,雖不豪華或美觀,但是乾淨,最主要還是人,真誠好客熱情,天然美景非常值得用雙腳去探索,無論陸上或者海洋~但也正慢慢開發中,能盡早去蘭嶼旅遊,越能感受她天然又純真及對於大自然敬畏的人性~~
"
蘭嶼,“台灣最棒的淨土”,"
已經去過這裡兩次，每次都給我很棒的回憶，騎摩托車環島一直尋找著地圖上的奇岩怪石真的非常有趣。天氣好的時候，夜晚的星空真的會讓人離不開那個小島。島上有很多很專業的夜間嚮導，會告訴遊客很多很有趣的蘭嶼小故事跟傳說。這個小島有別於台灣其他離島地方，文化與民俗風情因為當地的原住民而非常有自己的風格。我也在這裡獻出了第一次深潛的經驗，海裡生物非常豐富，教練也非常專業。深為台灣人一定要來體驗一下蘭嶼的生活。我們還有很棒的淨土，希望去的遊客們要好好愛惜這個地方。
"
蘭嶼,“讓人與自然融為一體的小島”,"
蘭嶼不像臺灣的一部份，它比較像是一個人們能與自然共存的國度。適合中長期渡假，更能體驗雅美文化！這裡的人純樸、熱情，隨處就能遇見羊群跟小豬，走出戶外就能看到海洋與美景。海底也好美～游泳與潛水更是不能錯過的活動！交通不便是很大的問題，坐船２～４個小時、坐飛機２５分鐘　卻不一定都搭得上！來蘭嶼，請抱持著一顆輕鬆的心～無法進入蘭嶼沒關係，隔天一早再試！無法離開蘭嶼也沒關係～請多再享受一天這裡的美景～海島物資缺乏、也需要被保護來這裡必需適應沒什麼東西好吃又昂貴的狀況在這裡請盡量減少製造垃圾，避免使用一次性的物品請抱持開放的態度、並尊重當地文化～就能有很大的收獲囉!!
"
蘭嶼,“體驗當地人民簡單的生活”,"
要是喜歡戶外,體驗新的文化,這裡是個好地方!趁着土著傳統和文化尚未被現代文明同化,還沒成為俗氣的旅遊勝地之前趕緊去吧。老一輩的亞美人還保持着傳統的農作和捕魚的生活方式,要是真想體驗一下的話,千萬不要夏天去,人太多了!我是四月底去的,剛好在旺季之前。對了,去的話最好住在村子里,這裏的地下房屋保存得非常好。這裏沒有太多風景,就海岸線有很多石頭而已,可以跳水和潜水。來這裏玩最好的辦法就是租個模特車,每天100RMB,然後可以沿着海岸騎着玩。來這裏最好保持開放的心態,融入亞美人的生活。可能有些老年人看起來防衛心理很強,對遊客也不是很客氣,但也遇到了很多熱情友好的當地人,注意他們的習俗和忌諱就是,比如不要拿着相機拍人和捕魚等等。
"
綠島鄉,“世外桃園”,"
綠島位於台灣的東南方，是一個非常美麗的地方，人為破壞極少，除了有清翠的山峰及湛藍的海水可欣賞之外，島上的居民也都很褐藹可親，很好相處
"
綠島鄉,“藍天下碧海徜徉 人生至高享受”,"
今年的綠島長泳可能拜上週紅霞颱風輕輕地走，卻帶走大片雲彩之賜，碧海藍天，水清見底，熱帶魚悠遊，沒有水母的干擾，真是人生至高享受。雖然十多年前到過綠島，但記憶除了曾機車快速環島一圈，沒留下太多印象。這次因長泳而來，先做了功課，知道綠島環島一圈約20K。到了綠島，照例要藉助機車趴趴走會較為便利，環島一週，路程約山、海線各半，想來綠島馬拉松可能設計成跑兩圈的行程應該也不算太輕鬆。山線有觀音洞、哈巴狗、睡美人......可觀，海線有綠島人權文化園區、大白沙、朝日溫泉、燈塔、山峰岩，及小丸子、夏卡爾......民宿前頗有美感的海灣、三隻放牧吃草的小羊，及「過山古道」上坡約150公尺處可登高眺望海灣、視野極佳的涼亭。夜間找到一個較無光害的地方，看到了滿天星斗如沙，較之前高山所見還多，確實會不覺地感悟宇宙蒼穹奧妙，頓覺個人的微渺。回家後突然想聽歷史悠久的「綠島小夜曲」，網路上點播排行第一華裔美籍女歌手的嗓音柔美，發現和藍天下自在地觀看魚兒、碧海徜徉的感覺，意外地頗搭，由網路資訊得知，雖然「綠島小夜曲」唱的並不是這個綠島，難怪也沒有歌詞中提到的椰子樹、月亮......，但歌詞中的「搖啊搖、飄啊飄......」，搭配女歌手的風格嗓音，就能喚起綠島長泳時，天人合一的精神昇華感覺，真是妙哉！
"
綠島鄉,“有機會一定要來玩玩~”,"
綠島(4-10)旅遊旺季，也是浮潛玩水的旅遊勝地~這裡只要沒下雨..真的非常炎熱，難怪有叫火燒島的稱號。島上騎車雖然不用半小時即能繞島一圈，但可去參觀、遊憩的地點可多啦！相信帶著相(手)機，一定能拍到許多漂亮又值得回味的景致(故事)，還沒去過綠島的朋友們，趕快計畫一下吧。
"
綠島鄉,“美麗的海洋”,"
海底世界樂無窮，建議潛水喔，梅花鹿需要保育，人權園區有新的介紹，讓大家對於台灣民主進步有了新的深入認識
"
綠島鄉,“渡假勝地，放鬆親近大自然”,"
四面環海的小島，有個潟湖可以讓旅客游泳、玩水，不會被海浪衝，安全、清澈、乾淨。浮淺非常舒服，不會游泳也沒關係，可以手扶著游泳圈漂浮著，享受被魚包圍的感覺，很繽紛的色彩，很美，真的是非常棒的體驗，連不會游泳的我，都愛上浮淺的感覺。晚上的時候跟著導遊去山區看野生梅花鹿，還有躺在草地上看滿天的星空，很放鬆。值得安排綠島小旅行，需要注意天氣，避免遇到颱風天。
"
綠島鄉,“很美的小島”,"
我們一行人在綠島待了五天，綠島雖小，但一點也不無聊，最好的方式就是租摩托車全島趴趴走。綠島燈塔、朝日溫泉、帆船鼻、小長城.....每個景點都漂亮，喜歡潛水游泳的人一定要去大白沙、柴口、石朗，如果還有閒情逸致，也可以去爬爬過山步道。
"
綠島鄉,“很吸引的旅遊點不多”,"
由於地方小，都是以自然風光為主，Shopping的地方不多，就只有一條街，大部份的遊人都以機車(電單車)代步，在路上行走要多加留意，住宿的要求不能要求過高。環島遊是指定動作，回歸大自然，看看昔日台灣政治犯的監獄，或許你有多一點反思，言論自由不一定是免費。另外，吃當地的海產是不錯的，沒有去過的可考慮！
"
綠島鄉,“舒服放鬆”,"
潮間帶一定要去! 真的很棒!只有體會才知道! 夜間導覽也很有趣我大概看到至少50隻梅花鹿! 當地浮淺也很舒服，下次想要試試潛水應該更棒! 也可以去跳海! 但不建議去燒烤店吃 全身油煙不舒服
"
綠島鄉,“安靜的小島”,"
安靜的小島，即日來回，時間不足，下次要預備去住上一兩晚，是一個安靜反省的好去處。風大了一點，島上人和遊客都少，可能因為是冬天吧。
"
綠島鄉,“世界級海底溫泉”,"
規畫好的海底溫泉區域真的是泡湯賞日出的好地方，沖洗的地方有提供洗髮精沐浴乳，美中不足是水太小有待改進。
"
綠島鄉,“風光明媚的綠島”,"
小而美的綠島,島上步調悠閒,白天風景宜人,小長城,哈巴狗岩,石朗潛水海底風光美不勝收,晚上越夜越有趣,可夜訪梅花鹿,山羌及竹節蟲~綠島很值得推薦!
"
綠島鄉,“值得一推的溫泉”,"
朝日溫泉.日出日落太美了.污染好少.環全島騎機車是一定要的.建議住2天以上.浮潛最好加一個深潛.保證你一輩子忘不了................
"
綠島鄉,“湛藍的海水”,"
湛藍的海水是我對綠島印象最深的一幕，還有坐船時沿途不時跳出的飛魚，台東外海才能看到飛魚的行蹤！還有綠島街上特有的烤飛魚。
"
綠島鄉,“這裡的生活像在做夢一樣！”,"
這裡海底的美麗生態與能見度真的不輸國外！除了一般網路上知名的景點，更可以花更多的時間來了解只有當地人知道的秘密小地方，跳港還有海星星、夕陽、月光海、跳港、大草原、日出更多的感動都值得你來發現。但小島的美麗需要大家來愛護，隨手揀起垃圾，或是自己帶塑膠袋，別留下更多負擔給未來！
"
綠島鄉,“絕對要去!”,"
污染好少，光害小所以星空超級每到不可思議!!大海好藍，浮淺看到好多美麗的魚，光是在沙灘走就好棒，只是防曬是絕對必須啦!綠島監獄當然要去一下啊，是很特別的經驗喔!建議租機車啦，油要先加滿喔然後一定要騎車一圈環島，總之是個放空或瘋玩的好地方!
"
綠島鄉,“朝日溫泉、海底潛水、海藻冰、吃飛魚”,"
朝日溫泉是一定要泡的天然海底溫泉，開到晚上2點，可以邊泡邊看星星，一定要穿泳衣、戴泳帽，還可以自己買蛋進去煮溫泉蛋，白天景色超美，可以拍出許多漂亮照片！門票大人200元、小朋友100元。 來綠島一定要潛水，3天內可以考照，一般人不會游泳也可以選擇浮潛，教練會帶你看海底美景，很多熱帶魚！ 晚上可以騎車夜遊，島上只有一條環島公路，騎完只要半小時，想去哪裡自己騎，晚上可以夜訪梅花鹿，白天熱可以去吃當地特色海藻冰，清涼消暑，綠島大街上很多餐廳不錯吃。非炒不可、釣魚人、哈狗店、牢飯，都不錯吃。遠一點推薦春霞小吃店，值得一吃的乾麵跟魯肉飯。 晚上可以買烤飛魚、鹹酥雞，回去配酒！ 綠島住宿一般2人房1200～2000元，很多民宿房內並無冰箱，要注意！ 有上網重症者，建議先詢問房內是不是有wifi
"
綠島鄉,“我在綠島做夢”,"
四年前來過一次今年舊地重遊 依然美得像夢一樣海天很藍 天氣很熱 風景海底很美坐在長椅上吹著海風看著夕陽這種放鬆步調的生活就趁現在短暫擁有吧~
"
綠島鄉,“清淨清靜”,"
忘卻煩惱的好地方朝日溫泉一大早造訪。空氣超棒。晚上夜遊雖沒参觀 也沒看到梅花鹿有點可惜至於海底世界。看到很多深海魚類。尤其是海龜
"
綠島鄉,“寧靜無汙染”,"
是一個休閒度假悠哉的好地方 ，最大的特色是鹿肉別有一番滋味，島嶼幅員小約2個小時內即可以機車逛遍全島，有田野沙灘又有古蹟
"
綠島鄉,“綠島行”,"
名宿.越蓋越多.吃ㄉ也很方便.可使心情放鬆.現在也有新開免稅店可是要坐船前2小時去買才可以ㄛ.去一定要去浮潛.吃海藻冰
"
綠島鄉,“台湾的關島”,"
綠島是我去過關島和夏威夷後—直想去的地方。去之前很多人都说綠島應該和小琉球差不多且又要坐船会暈，但如果關島和夏威夷同屬美國領土卻能给观光客不同的感受，綠島應該也有不同的風貌。 綠島是離島，想當然各方面一定不如台灣本島。於是除隨身必需品外，還带些零食及—些麵包，雖然事先知道島上有7-11和全家，也只有住—晚而已，可是餓著肚子甚麼事也不能做。到綠島碼頭時的確没有什麽大驚奇，但随民宿主人到住宿處也是預期中的簡樸，直到騎上摩托車環島時—路上由内心發出的驚嘆聲連連。吃的方面也没有想像中的不足，豪華餐廰没有，但絕對可以吃飽。綠島的BBQ很盛行，也很便宜，這點和關島人吃的習慣很像。唯—的不便是水果，但後來在地人指引到一家雜貨店才買到。隔天上船前還有幾小時，又騎上摩托車朝反方向再環島一次，本來预計半小時回民宿冲個澡再到碼頭搭船，結果又是一連串的赞嘆聲，也花近2小時，回到民宿離開船只剩30分鐘，歸還車子，拿了行李，民宿主人只花5分鐘就載我到碼頭，結束二天一夜驚奇不断的綠島行。由於意猶未竟，所以6冃中和明友又到綠島玩了—次，第三次的綠島行則在計劃中。
"
綠島鄉,“綠島”,"
台灣外海的小島"":綠島""，島雖然小，但風景可是非常非常漂亮，先說下海，浮潛看到的海底世界及魚群可是媲美世界級的，環島公路可以看到島上各方位風景，島上還有一個世界少有海底溫泉，晚上又有野生探索""梅花鹿""，太棒了，值得推推推
"
